ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
8,Shiinotix,2d,MI,2,0,,2,1,,0,0,,0,0,,0,0
9,Dhelmise,2d,MI,2,0,,5,3,,0,0,,0,0,,0,0
10,Ponyta,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
11,Rapidash,2d,MI,3,1,,10,8,,0,0,,0,0,,0,0
12,Magmar,2d,MI,4,2,,4,2,,0,0,,0,0,,0,0
13,Larvesta,1d,MI,5,3,,7,5,,0,0,,0,0,,1,0
14,Volcarona,3d,MI,2,0,,1,0,,0,0,,0,0,,0,0
15,Salandit,1d,MI,2,0,,8,6,,0,0,,0,0,,0,0
16,Salazzle,1d,MI,2,0,,6,4,,0,0,,0,0,,0,0
17,Magikarp,1d,MI,2,0,,9,7,,0,0,,0,0,,0,0
18,Gyarados ex,4d,MI,2,0,,3,1,,0,0,,0,0,,0,0
19,Vaporeon,3d,MI,3,1,,3,1,,0,0,,0,0,,0,0
20,Finneon,1d,MI,4,2,,1,0,,0,0,,0,0,,0,0
21,Lumineon,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
22,Chewtle,1d,MI,2,0,,2,1,,0,0,,0,0,,0,0
23,Drednaw,2d,MI,2,0,,1,0,,0,0,,0,0,,0,0
24,Cramorant,1d,MI,5,3,,6,4,,0,0,,0,0,,2,0
25,Pikachu,1d,MI,4,2,,6,4,,0,0,,0,0,,0,0
26,Raichu,3d,MI,2,0,,5,3,,0,0,,0,0,,0,0
27,Elextabuzz,2d,MI,4,2,,5,3,,0,0,,0,0,,0,0
28,Joltik,1d,MI,4,2,,13,11,,0,0,,0,0,,0,0
29,Galvantuala,2d,MI,2,0,,5,3,,0,0,,0,0,,0,0
30,Dedene,1d,MI,2,0,,7,5,,0,0,,0,0,,0,0
31,Mew,3d,MI,0,0,,4,2,,0,0,,0,0,,0,0
32,Mew ex,4d,MI,3,1,,2,1,,0,0,,0,0,,0,0
33,Sigilyph,2d,MI,3,1,,4,2,,0,0,,0,0,,0,0
34,Elgyem,1d,MI,3,1,,5,3,,0,0,,0,0,,0,0
35,Beheeyem,2d,MI,1,0,,0,0,,0,0,,0,0,,0,0
36,Flabebe,1d,MI,6,4,,13,11,,0,0,,0,0,,0,0
37,Floette,1d,MI,1,0,,8,6,,0,0,,0,0,,0,0
38,Florges,2d,MI,2,0,,6,4,,0,0,,0,0,,0,0
39,Swirlix,1d,MI,4,2,,5,3,,0,0,,0,0,,1,0
40,Slurpuff,1d,MI,6,4,,2,1,,0,0,,0,0,,0,0
